EmployeeID,Date,Amount,Comment
20,11/7/2019,-5000,Advance Deduction
74,11/7/2019,-3000,Advance Deduction
106,11/7/2019,-1500,Advance Deduction
113,11/7/2019,-2000,Advance Deduction
131,11/7/2019,-6000,Advance Deduction
134,11/7/2019,-1000,Advance Deduction
159,11/7/2019,-3000,Advance Deduction
184,11/7/2019,190,1% Interest.
184,11/7/2019,-4000,Advance Deduction
219,11/7/2019,-10000,Advance Deduction
234,11/7/2019,-1500,Advance Deduction
239,11/7/2019,-3000,Advance Deduction
241,11/7/2019,200,1% Interest.
241,11/7/2019,-5000,Advance Deduction
242,11/7/2019,-3000,Advance Deduction
249,11/7/2019,-10000,Advance Deduction
264,11/7/2019,-7000,Advance Deduction
268,11/7/2019,-2000,Advance Deduction
277,11/7/2019,-5000,Advance Deduction
321,11/7/2019,-5000,Advance Deduction
330,11/7/2019,-4000,Advance Deduction
347,11/7/2019,-10000,Advance Deduction
349,11/7/2019,-4000,Advance Deduction
423,11/7/2019,-700,Advance Deduction
437,11/7/2019,-3000,Advance Deduction
448,11/7/2019,-2000,Advance Deduction
484,11/7/2019,-4000,Advance Deduction
485,11/7/2019,-2000,Advance Deduction
491,11/7/2019,-5000,Advance Deduction
494,11/7/2019,-2000,Advance Deduction
496,11/7/2019,-6000,Advance Deduction
498,11/7/2019,-1500,Advance Deduction
522,11/7/2019,-1500,Advance Deduction
558,11/7/2019,-2200,Advance Deduction
570,11/7/2019,-2000,Advance Deduction
574,11/7/2019,-2000,Advance Deduction
583,11/7/2019,-5000,Advance Deduction
586,11/7/2019,-1000,Advance Deduction
594,11/7/2019,-500,Advance Deduction
605,11/7/2019,-2000,Advance Deduction
609,11/7/2019,-2000,Advance Deduction
628,11/7/2019,-1742,Advance Deduction
646,11/7/2019,-2000,Advance Deduction
653,11/7/2019,-2000,Advance Deduction
662,11/7/2019,-1500,Advance Deduction
