EmployeeID,Date,Amount,Comment
20,9/9/2019,-5000,Advance Deduction
44,9/9/2019,-3000,Advance Deduction
74,9/9/2019,-1300,Advance Deduction
106,9/9/2019,1700,Advance Deduction
134,9/9/2019,-1000,Advance Deduction
184,9/9/2019,270,1% Interest.
184,9/9/2019,-4270,Advance Deduction
219,9/9/2019,115,1% Interest.
219,9/9/2019,-11615,Advance Deduction
234,9/9/2019,-1000,Advance Deduction
239,9/9/2019,80,1% Interest.
239,9/9/2019,4080,Advance Deduction
241,9/9/2019,300,1% Interest.
241,9/9/2019,-5300,Advance Deduction
242,9/9/2019,-1500,Advance Deduction
264,9/9/2019,-6000,Advance Deduction
268,9/9/2019,-2000,Advance Deduction
328,9/9/2019,-1500,Advance Deduction
330,9/9/2019,-3000,Advance Deduction
332,9/9/2019,-7000,Advance Deduction
349,9/9/2019,-1800,Advance Deduction
351,9/9/2019,-500,Advance Deduction
430,9/9/2019,-1000,Advance Deduction
437,9/9/2019,-3400,Advance Deduction
448,9/9/2019,-1000,Advance Deduction
484,9/9/2019,30,1% Interest.
484,9/9/2019,-3030,Advance Deduction
494,9/9/2019,-1500,Advance Deduction
496,9/9/2019,-6000,Advance Deduction
506,9/9/2019,80,1% Interest.
506,9/9/2019,-2080,Advance Deduction
558,9/9/2019,-2500,Advance Deduction
574,9/9/2019,-1500,Advance Deduction
583,9/9/2019,-5000,Advance Deduction
584,9/9/2019,-1400,Advance Deduction
594,9/9/2019,-1000,Advance Deduction
605,9/9/2019,-1000,Advance Deduction
628,9/9/2019,-2200,Advance Deduction
